id,x,y,z,yaw,pitch,roll
1,-285.135,226.346,-12.6239,2.4479,0.0122119,0.0424402
2,-284.908,226.141,-12.6019,2.44781,0.0133344,0.0409814
3,-285.346,226.535,-12.6014,2.44813,0.0123868,0.0358762
4,-285.571,226.739,-12.6068,2.44888,0.0115544,0.0331721
5,-285.794,226.935,-12.6125,2.45015,0.0105551,0.0315804
6,-285.998,227.127,-12.6154,2.45032,0.01072,0.0310069
7,-286.217,227.314,-12.6145,2.44983,0.0102627,0.031908
8,-286.437,227.497,-12.6164,2.45011,0.0092419,0.0334729
9,-286.644,227.678,-12.6155,2.45124,0.00778019,0.0341335
10,-286.838,227.856,-12.6132,2.45115,0.00643222,0.0331277
11,-287.043,228.032,-12.5993,2.45127,0.00242992,0.0325765
12,-287.251,228.208,-12.5993,2.45106,-0.00184154,0.0347283
13,-287.437,228.371,-12.6137,2.45091,-0.00402316,0.0366008
14,-287.62,228.527,-12.6251,2.45066,-0.00298486,0.0378749
15,-287.811,228.689,-12.6376,2.45118,-0.00138373,0.0385354
16,-287.986,228.838,-12.6348,2.45139,-0.000259187,0.0393527
17,-288.169,228.996,-12.6429,2.45177,-0.000355489,0.0401387
18,-288.342,229.139,-12.6591,2.45221,0.00197239,0.0407807
19,-288.512,229.283,-12.6679,2.45324,0.0053931,0.0400682
20,-288.675,229.426,-12.6667,2.45358,0.00679063,0.037725
21,-288.839,229.567,-12.6629,2.45395,0.00645638,0.0351642
22,-288.996,229.706,-12.6662,2.45471,0.00585502,0.0346674
23,-289.151,229.843,-12.6747,2.45458,0.00664264,0.0365156
24,-289.309,229.978,-12.6875,2.45454,0.00999814,0.0381716
25,-289.453,230.098,-12.6933,2.45517,0.0123977,0.0402871
26,-289.607,230.232,-12.6962,2.45542,0.0142557,0.0429995
27,-289.733,230.365,-12.6906,2.4553,0.0146336,0.044138
28,-289.889,230.479,-12.6855,2.45532,0.0138317,0.0444652
29,-290.026,230.599,-12.6799,2.45602,0.0117967,0.0435275
30,-290.159,230.72,-12.6832,2.45717,0.00973482,0.0430916
31,-290.3,230.838,-12.6806,2.45726,0.00851054,0.0421311
32,-290.428,230.956,-12.6682,2.45822,0.0060635,0.0398736
33,-290.553,231.073,-12.6697,2.45753,0.00221298,0.0402669
34,-290.69,231.178,-12.665,2.45717,-0.000360726,0.0405832
35,-290.814,231.289,-12.6327,2.45705,-0.00692612,0.0397621
36,-290.956,231.408,-12.6342,2.45623,-0.0143986,0.0399049
37,-291.076,231.508,-12.6763,2.45554,-0.0149027,0.0401641
38,-291.2,231.618,-12.7238,2.45658,-0.0086792,0.0408059
39,-291.318,231.71,-12.753,2.4563,-0.000597254,0.0418851
40,-291.439,231.817,-12.7345,2.4578,0.00496157,0.0416583
41,-291.573,231.938,-12.7142,2.45753,0.00224312,0.0436094
42,-291.692,232.053,-12.72,2.45548,-0.000431861,0.0472695
43,-291.82,232.152,-12.7329,2.45501,-0.000158346,0.0523132
44,-291.952,232.264,-12.736,2.45445,0.00183989,0.0557363
45,-292.056,232.378,-12.7379,2.45459,0.00398017,0.0543649
46,-292.186,232.468,-12.7352,2.4555,0.00672747,0.0506446
47,-292.301,232.571,-12.7329,2.45629,0.0074206,0.0467155
48,-292.409,232.669,-12.7319,2.45639,0.0058556,0.0457199
49,-292.529,232.779,-12.7384,2.45497,0.00428774,0.0477753
50,-292.643,232.867,-12.7517,2.45461,0.00490864,0.0489984
51,-292.764,232.973,-12.7485,2.45512,0.00606354,0.0505259
52,-292.883,233.074,-12.744,2.4545,0.00615036,0.0504621
53,-293.002,233.181,-12.7465,2.45409,0.00713914,0.0486216
54,-293.106,233.296,-12.7586,2.45515,0.0100379,0.0479456
55,-293.247,233.394,-12.7484,2.45647,0.0117751,0.0480869
56,-293.366,233.531,-12.7217,2.45574,0.00806117,0.0452925
57,-293.511,233.64,-12.7303,2.45471,0.000159731,0.0422993
58,-293.646,233.756,-12.7537,2.45515,-0.00187009,0.0415258
59,-293.772,233.863,-12.761,2.4567,-0.00124102,0.0432632
60,-293.899,233.972,-12.7508,2.45749,-0.00236642,0.0465221
61,-294.035,234.087,-12.7439,2.45749,-0.00441808,0.0477141
62,-294.169,234.2,-12.7622,2.45603,-0.00610642,0.0496454
63,-294.301,234.317,-12.7687,2.45507,-0.00560835,0.0508117
64,-294.43,234.429,-12.7703,2.45555,-0.00520519,0.0519823
65,-294.551,234.54,-12.776,2.45452,-0.00476815,0.0521575
66,-294.692,234.666,-12.7738,2.45386,-0.00324793,0.0495101
67,-294.818,234.781,-12.7795,2.45469,-0.00364778,0.0482814
68,-294.955,234.898,-12.7832,2.45535,-0.00384741,0.0485199
69,-295.093,235.025,-12.785,2.45458,-0.00411162,0.0479378
70,-295.223,235.139,-12.7864,2.4548,-0.0043295,0.0483078
71,-295.363,235.256,-12.7884,2.45489,-0.00406131,0.0492044
72,-295.488,235.371,-12.7892,2.45432,-0.0043444,0.0493119
73,-295.615,235.487,-12.7922,2.45391,-0.0046819,0.0490061
74,-295.754,235.608,-12.7929,2.45401,-0.00491053,0.049174
75,-295.887,235.722,-12.7972,2.45416,-0.00515259,0.0494219
76,-296.021,235.838,-12.7986,2.45385,-0.00499793,0.049002
77,-296.16,235.955,-12.7942,2.45308,-0.00445722,0.0474954
78,-296.297,236.073,-12.7897,2.45336,-0.00471345,0.045539
79,-296.428,236.193,-12.7969,2.45471,-0.00452275,0.0449191
80,-296.575,236.32,-12.8087,2.45438,-0.00325954,0.0448286
81,-296.716,236.44,-12.8093,2.45424,-0.00164387,0.0447948
82,-296.856,236.564,-12.803,2.45465,-0.00100369,0.0456877
83,-296.987,236.681,-12.8003,2.45464,-0.00115603,0.0462475
84,-297.134,236.812,-12.7999,2.45444,-0.00118417,0.0454087
85,-297.283,236.943,-12.8055,2.45414,-0.00050195,0.0451594
86,-297.412,237.057,-12.8074,2.45355,0.000828771,0.0448923
87,-297.554,237.18,-12.8017,2.4535,0.000862766,0.0445813
88,-297.699,237.315,-12.8005,2.45426,-0.000545092,0.0441913
89,-297.841,237.44,-12.8087,2.45506,-0.00104198,0.0450401
90,-297.985,237.563,-12.8053,2.45476,-0.00143743,0.0450797
91,-298.123,237.68,-12.8112,2.45461,-0.00197161,0.044321
92,-298.276,237.816,-12.8164,2.45521,-0.00227934,0.0439136
93,-298.415,237.933,-12.8202,2.45591,-0.00244165,0.0435
94,-298.564,238.065,-12.8206,2.45548,-0.00286759,0.0423833
95,-298.704,238.191,-12.822,2.45517,-0.0038499,0.0412705
96,-298.843,238.323,-12.82,2.45563,-0.00528782,0.0398248
97,-299.002,238.458,-12.8202,2.45584,-0.00708514,0.0390763
98,-299.153,238.582,-12.8205,2.45686,-0.00870769,0.0382573
99,-299.292,238.706,-12.8291,2.45775,-0.00887625,0.0372932
100,-299.448,238.839,-12.8376,2.45783,-0.00744076,0.0360186
101,-299.6,238.975,-12.8428,2.45855,-0.00657646,0.0357863
102,-299.75,239.099,-12.8477,2.45884,-0.00572203,0.0382199
103,-299.902,239.223,-12.8404,2.45902,-0.0050797,0.0397462
104,-300.05,239.35,-12.8333,2.45969,-0.00538701,0.0382961
105,-300.201,239.485,-12.8406,2.46015,-0.00581758,0.0361885
106,-300.35,239.62,-12.8474,2.46082,-0.00525871,0.0339614
107,-300.493,239.746,-12.8516,2.46124,-0.00455144,0.0328852
108,-300.659,239.878,-12.8526,2.46205,-0.00394794,0.0318035
109,-300.801,239.995,-12.8528,2.46298,-0.0039839,0.0308067
110,-300.959,240.133,-12.8572,2.4633,-0.00421665,0.0299887
111,-301.118,240.268,-12.8584,2.46341,-0.00450884,0.0294006
112,-301.276,240.399,-12.8569,2.46311,-0.00396132,0.02825
113,-301.437,240.528,-12.8576,2.46337,-0.00267839,0.0259602
114,-301.6,240.677,-12.8526,2.4665,-0.00288201,0.0226511
115,-301.754,240.795,-12.8503,2.46855,-0.00502645,0.0219523
116,-301.919,240.935,-12.8475,2.47038,-0.00607947,0.0191371
117,-302.083,241.059,-12.855,2.47356,-0.00637752,0.0177372
118,-302.243,241.186,-12.8552,2.47535,-0.0059392,0.0183823
119,-302.404,241.312,-12.8579,2.47817,-0.00521262,0.0173665
120,-302.575,241.436,-12.8634,2.48047,-0.00498116,0.0174861
121,-302.738,241.56,-12.8638,2.48258,-0.00453771,0.0175746
122,-302.912,241.698,-12.8639,2.48458,-0.00500472,0.0171611
123,-303.078,241.829,-12.8634,2.48733,-0.00483867,0.0164594
124,-303.249,241.956,-12.8644,2.49041,-0.00474929,0.0154437
125,-303.418,242.08,-12.8651,2.49349,-0.00488206,0.0146681
126,-303.59,242.199,-12.8662,2.49665,-0.00505298,0.0137597
127,-303.764,242.321,-12.8694,2.49969,-0.00519984,0.0129632
128,-303.934,242.445,-12.8695,2.50396,-0.00471169,0.0119484
129,-304.112,242.572,-12.8706,2.50962,-0.0044624,0.0103857
130,-304.283,242.687,-12.8733,2.51413,-0.00424221,0.0103535
131,-304.456,242.803,-12.8756,2.51886,-0.00468941,0.0117586
132,-304.638,242.91,-12.8703,2.52514,-0.00677284,0.0141408
133,-304.824,243.023,-12.8608,2.53328,-0.00886668,0.0154944
134,-305.021,243.117,-12.8547,2.54219,-0.0101645,0.0149239
135,-305.193,243.22,-12.8562,2.55332,-0.0117195,0.0102281
136,-305.383,243.311,-12.8611,2.56435,-0.0121787,0.00741662
137,-305.575,243.4,-12.8665,2.57604,-0.0119114,0.00666255
138,-305.772,243.487,-12.8695,2.5877,-0.0119366,0.00692693
139,-305.968,243.572,-12.8679,2.59966,-0.0119559,0.00668697
140,-306.166,243.647,-12.8696,2.61213,-0.0120882,0.00665075
141,-306.373,243.72,-12.872,2.62525,-0.0127479,0.0065909
142,-306.577,243.794,-12.8697,2.63799,-0.0129783,0.00574258
143,-306.772,243.867,-12.87,2.65221,-0.0128012,0.00281829
144,-306.977,243.934,-12.8732,2.668,-0.0141999,0.00127307
145,-307.185,243.988,-12.8742,2.68265,-0.0143112,0.00318813
146,-307.391,244.043,-12.8742,2.69757,-0.0132206,0.00442898
147,-307.597,244.088,-12.8785,2.71339,-0.013238,0.00613367
148,-307.82,244.128,-12.8766,2.7312,-0.0132308,0.00768164
