id,x,y,z,yaw,pitch,roll
1,1716.04,1013.2,-1.7617,-2.19121,-0.0523637,-0.0333573
2,1716.23,1013.48,-1.73712,-2.1895,-0.0541665,-0.0311429
3,1716.43,1013.82,-1.59467,-2.18882,-0.0493098,-0.0365925
4,1716.7,1014.06,-1.69643,-2.18906,-0.0655632,-0.0134575
5,1716.91,1014.38,-1.72812,-2.18692,-0.0669395,-0.0116157
6,1717.01,1014.43,-1.72203,-2.19147,-0.0572393,-0.0123204
7,1716.84,1014.16,-1.73132,-2.19257,-0.0421123,-0.0101346
8,1716.83,1014.11,-1.75912,-2.19385,-0.0427659,-0.00475216
9,1716.58,1013.75,-1.80958,-2.19418,-0.0421651,-0.000113232
10,1716.26,1013.41,-1.65983,-2.19284,-0.0410397,-0.010905
11,1716.08,1013.28,-1.50071,-2.19259,-0.0377379,-0.021763
12,1715.85,1012.93,-1.5459,-2.19376,-0.0377578,-0.0194416
13,1715.69,1012.72,-1.51476,-2.19501,-0.038098,-0.0225792
14,1715.45,1012.39,-1.49244,-2.19411,-0.0398691,-0.0255366
15,1715.27,1012.17,-1.46722,-2.19571,-0.0385585,-0.0261903
16,1715.06,1011.89,-1.4545,-2.19548,-0.0357406,-0.0304185
17,1714.8,1011.55,-1.48049,-2.19705,-0.035897,-0.0264744
18,1714.51,1011.21,-1.25632,-2.19597,-0.0331841,-0.042227
19,1714.3,1010.91,-1.26631,-2.19667,-0.0355797,-0.0411675
20,1714.1,1010.65,-1.30983,-2.19818,-0.037023,-0.0381974
21,1713.88,1010.35,-1.27557,-2.19692,-0.03744,-0.0426994
22,1713.65,1010.15,-1.07615,-2.19656,-0.0298284,-0.0560115
23,1713.43,1009.86,-0.998474,-2.19635,-0.0279551,-0.0615596
24,1713.27,1009.65,-1.05633,-2.1968,-0.0322278,-0.059472
25,1713.06,1009.32,-1.12847,-2.19737,-0.0356469,-0.0552168
26,1712.9,1009.09,-1.19205,-2.1985,-0.0384238,-0.0510768
27,1712.74,1008.82,-1.22816,-2.19712,-0.0378516,-0.0492327
28,1712.5,1008.53,-1.21889,-2.19738,-0.0372619,-0.0511986
29,1712.18,1008.16,-1.10864,-2.19662,-0.0380789,-0.0605883
30,1711.95,1007.76,-1.23626,-2.19672,-0.0372011,-0.0503641
31,1711.93,1007.73,-1.24503,-2.19625,-0.0375145,-0.0493193
32,1711.73,1007.48,-1.25206,-2.19622,-0.0380644,-0.0474684
33,1711.56,1007.2,-1.26155,-2.19524,-0.0385016,-0.0456434
34,1711.32,1006.86,-1.29272,-2.1958,-0.0390037,-0.0427639
35,1709.98,1005.08,-0.836238,-2.19858,-0.031273,-0.0517261
36,1709.79,1004.82,-0.800241,-2.19671,-0.0304045,-0.054787
37,1709.57,1004.53,-0.783887,-2.19435,-0.0332938,-0.0544785
38,1709.39,1004.24,-0.773314,-2.19245,-0.0351114,-0.0536459
39,1709.21,1004.03,-0.703405,-2.19437,-0.0412013,-0.0504163
40,1709.07,1003.72,-0.871452,-2.19828,-0.0610104,-0.0214542
41,1708.87,1003.46,-0.840621,-2.19664,-0.0613858,-0.0228715
42,1708.5,1002.96,-0.820504,-2.19352,-0.0637031,-0.0227401
43,1708.32,1002.71,-0.819832,-2.19249,-0.0646837,-0.0224848
44,1708.14,1002.43,-0.857581,-2.19044,-0.0651587,-0.0213226
45,1707.95,1002.18,-0.81561,-2.18863,-0.0639696,-0.0223518
46,1707.8,1002.04,-0.444065,-2.18463,-0.0472473,-0.0357156
47,1707.72,1001.8,-0.243632,-2.18587,-0.0421684,-0.0153165
48,1707.53,1001.54,-0.166229,-2.18352,-0.0418378,-0.0166843
