id,x,y,z,yaw,pitch,roll
1,1774.54,866.286,-0.566919,0.0211849,-0.0189802,-0.0449901
2,1774.27,866.241,-0.522244,0.0222937,-0.0195644,-0.0448102
3,1773.93,866.254,-0.521495,0.0224024,-0.0182854,-0.0430494
4,1773.45,866.306,-0.488103,0.0213029,-0.0201747,-0.0400447
5,1773.18,866.297,-0.515357,0.021065,-0.0191336,-0.0401497
6,1772.81,866.285,-0.49755,0.0214386,-0.0162568,-0.0404495
7,1772.49,866.28,-0.50211,0.0216573,-0.0181719,-0.040639
8,1775.01,866.276,-0.561111,0.022143,-0.0176599,-0.0460264
9,1775.44,866.29,-0.594761,0.0214149,-0.0201955,-0.0457764
10,1775.86,866.302,-0.590719,0.0214437,-0.0204103,-0.0448984
11,1776.17,866.306,-0.601304,0.021754,-0.0214819,-0.0431827
12,1776.56,866.334,-0.385702,0.0218224,-0.0231157,-0.03456
13,1776.86,866.329,-0.353061,0.0222294,-0.0225136,-0.0333418
14,1777.33,866.321,-0.406681,0.0224229,-0.0135073,-0.0412895
15,1777.74,866.327,-0.584832,0.0212585,-0.0113477,-0.0495725
16,1778.12,866.345,-0.574444,0.020721,-0.0112717,-0.0469355
17,1778.67,866.368,-0.4847,0.0205294,-0.0120255,-0.0439467
18,1778.99,866.381,-0.501336,0.0209161,-0.0130172,-0.0439573
19,1779.34,866.393,-0.522591,0.021623,-0.012963,-0.0426006
20,1779.76,866.396,-0.530859,0.0222418,-0.0161435,-0.0433118
21,1780.18,866.415,-0.528632,0.021805,-0.0183263,-0.0447173
22,1780.59,866.438,-0.495745,0.0211131,-0.0218115,-0.0415658
23,1781,866.465,-0.41798,0.0209046,-0.022426,-0.0361146
24,1781.48,866.473,-0.431518,0.0209194,-0.0225151,-0.0364085
25,1781.9,866.474,-0.438387,0.0212611,-0.0214098,-0.0378753
26,1782.32,866.483,-0.452834,0.0220331,-0.0247684,-0.037486
27,1782.74,866.486,-0.459461,0.0219781,-0.0250119,-0.037694
28,1783.19,866.486,-0.478875,0.0214171,-0.0197019,-0.0402745
29,1783.58,866.49,-0.479102,0.021634,-0.0222809,-0.0405899
30,1784.02,866.494,-0.447872,0.0219124,-0.0226921,-0.0396228
31,1784.47,866.51,-0.374862,0.0220788,-0.0229114,-0.0366043
32,1784.88,866.525,-0.329465,0.0222543,-0.0241885,-0.0349599
33,1785.31,866.536,-0.306696,0.0222539,-0.0232195,-0.0339529
34,1785.69,866.549,-0.281608,0.0228967,-0.0223763,-0.032107
35,1786.16,866.555,-0.297924,0.0226284,-0.0250313,-0.0319784
36,1786.59,866.561,-0.30479,0.0231695,-0.0257291,-0.0325751
37,1787.01,866.57,-0.331292,0.0233012,-0.0262609,-0.0328306
38,1787.48,866.594,-0.355299,0.0237517,-0.0262062,-0.0316608
39,1787.86,866.597,-0.313812,0.0239168,-0.0218881,-0.0294013
40,1788.33,866.6,-0.336648,0.0245686,-0.0240517,-0.0301404
41,1788.75,866.605,-0.350374,0.0251179,-0.0250034,-0.0302521
42,1789.21,866.621,-0.353749,0.0256519,-0.0265235,-0.0309903
43,1789.71,866.629,-0.359083,0.0255825,-0.0321877,-0.0311414
44,1790.11,866.646,-0.370768,0.0255707,-0.0341464,-0.0315763
45,1790.54,866.654,-0.365797,0.026297,-0.0352991,-0.0323028
46,1790.93,866.653,-0.363784,0.0265751,-0.036803,-0.0324663
47,1791.41,866.653,-0.360218,0.0272204,-0.0371928,-0.0339461
48,1791.85,866.619,-0.273311,0.0281636,-0.0356232,-0.041923
49,1792.27,866.638,-0.206889,0.0284602,-0.0314557,-0.0396751
50,1792.65,866.653,-0.227259,0.0289366,-0.032261,-0.0397853
51,1793.05,866.672,-0.221099,0.0291387,-0.0334048,-0.0387629
52,1793.48,866.675,-0.239207,0.0295261,-0.0334029,-0.040196
53,1793.87,866.68,-0.15437,0.0293096,-0.0330129,-0.0363304
54,1794.31,866.716,-0.173249,0.0302325,-0.0323573,-0.0368853
55,1794.69,866.727,-0.174718,0.0307754,-0.0338322,-0.0369957
56,1795.15,866.733,-0.186285,0.0312903,-0.0353696,-0.0370534
57,1795.55,866.75,-0.204267,0.0322649,-0.0351174,-0.0375667
58,1795.93,866.779,-0.220376,0.0332032,-0.0348718,-0.0372028
59,1796.09,866.774,-0.227168,0.0343216,-0.0349803,-0.0375388
60,1796.58,866.77,-0.231285,0.0339995,-0.0377803,-0.0378867
61,1797.02,866.776,-0.238088,0.0339667,-0.0382186,-0.03771
62,1797.49,866.786,-0.23985,0.0338336,-0.0374898,-0.0368309
63,1797.9,866.777,-0.243745,0.0333977,-0.0368414,-0.0363556
64,1798.38,866.771,-0.233292,0.0335721,-0.0390424,-0.0362985
65,1798.66,866.782,-0.226027,0.034685,-0.0400714,-0.0360906
66,1799.19,866.79,-0.221047,0.0345507,-0.0411801,-0.0357119
67,1799.63,866.814,-0.234307,0.0353892,-0.0468421,-0.0349322
68,1800.06,866.826,-0.225603,0.0347345,-0.0471486,-0.0353895
69,1800.49,866.839,-0.225838,0.0353819,-0.0490132,-0.0354391
70,1800.93,866.853,-0.227934,0.0355945,-0.0503914,-0.035583
71,1801.4,866.858,-0.256634,0.0355241,-0.0496778,-0.0376865
72,1801.77,866.869,-0.26441,0.0366938,-0.0515999,-0.0381907
73,1802.45,866.862,-0.352659,0.0370399,-0.0508608,-0.0420398
74,1802.86,866.881,-0.372915,0.0376169,-0.0484155,-0.0409824
75,1803.22,866.874,-0.341587,0.0386282,-0.0313087,-0.0440373
76,1803.68,866.892,-0.342187,0.0394063,-0.0323149,-0.0436278
77,1804.15,866.901,-0.349567,0.0398223,-0.0336527,-0.0438857
78,1804.49,866.909,-0.356302,0.0399266,-0.0342128,-0.0444286
79,1804.91,866.92,-0.305474,0.039697,-0.0305673,-0.0443622
80,1805.33,866.947,-0.176871,0.0396712,-0.0311498,-0.0388419
81,1805.71,866.958,-0.173895,0.0399731,-0.0325671,-0.0386011
82,1806.2,866.975,-0.17961,0.0403999,-0.0347364,-0.0391355
83,1806.6,866.99,-0.185637,0.0402178,-0.0351947,-0.0394171
84,1807.07,867.009,-0.197288,0.0406727,-0.0383464,-0.0390448
85,1807.45,867.025,-0.202858,0.0407481,-0.039617,-0.0390842
86,1807.9,867.045,-0.223027,0.0424269,-0.038598,-0.0393977
87,1808.32,867.061,-0.243723,0.0422696,-0.033533,-0.0371924
88,1808.67,867.077,-0.251395,0.0423522,-0.0327948,-0.0369373
89,1809.25,867.099,-0.235854,0.0427017,-0.0378358,-0.0378022
90,1809.59,867.117,-0.239024,0.0428758,-0.0384107,-0.0372771
91,1810.07,867.135,-0.236441,0.0426839,-0.040984,-0.0371184
92,1810.48,867.149,-0.223851,0.0425141,-0.0428534,-0.0378335
93,1810.82,867.163,-0.229479,0.0430305,-0.0436916,-0.0381302
94,1811.26,867.183,-0.251901,0.044428,-0.0445353,-0.0389033
95,1811.71,867.191,-0.241539,0.045282,-0.0430594,-0.0391281
96,1812.2,867.203,-0.232093,0.0454251,-0.043958,-0.0397209
97,1812.64,867.202,-0.25643,0.0459176,-0.0403413,-0.0415144
98,1813.06,867.245,-0.185583,0.0454473,-0.0374276,-0.0385694
99,1813.38,867.259,-0.188913,0.0458154,-0.0382511,-0.0384446
100,1813.82,867.264,-0.197463,0.045629,-0.0403587,-0.0386436
101,1814.21,867.278,-0.207197,0.0463227,-0.041357,-0.0388206
102,1814.66,867.3,-0.212571,0.0467218,-0.0424876,-0.0394488
103,1815.24,867.321,-0.222664,0.0456299,-0.0443691,-0.0403562
104,1815.61,867.339,-0.22016,0.0445734,-0.0451073,-0.0404508
105,1816.13,867.375,-0.245697,0.0443117,-0.0452709,-0.0415219
106,1816.43,867.36,-0.248832,0.0444363,-0.0457622,-0.0416426
107,1816.86,867.399,-0.24727,0.0427903,-0.0471267,-0.041281
108,1817.3,867.395,-0.218904,0.0430227,-0.0462884,-0.0391246
109,1817.79,867.429,-0.202886,0.0425582,-0.047323,-0.0387399
110,1818.26,867.439,-0.204862,0.0425925,-0.048411,-0.0385489
111,1818.66,867.45,-0.297651,0.0421572,-0.0441519,-0.0357071
112,1819.11,867.47,-0.334055,0.0414766,-0.0448753,-0.037013
113,1819.52,867.475,-0.340099,0.040354,-0.0465862,-0.0371077
114,1819.96,867.489,-0.344629,0.0397578,-0.0484076,-0.0373645
115,1820.39,867.476,-0.418635,0.0392351,-0.049111,-0.0407001
116,1820.86,867.492,-0.421204,0.0388933,-0.0501882,-0.0406368
117,1821.26,867.511,-0.390661,0.0371785,-0.0523773,-0.0397551
118,1821.7,867.562,-0.405335,0.0359548,-0.0467157,-0.0356228
119,1822.04,867.571,-0.380958,0.0353735,-0.0445982,-0.0349616
120,1822.46,867.608,-0.275895,0.0336048,-0.0445068,-0.030645
121,1822.96,867.617,-0.282995,0.032478,-0.0464413,-0.0309361
122,1823.35,867.631,-0.252185,0.031883,-0.0460093,-0.029348
123,1823.83,867.659,-0.258841,0.0316009,-0.0443654,-0.0268033
124,1824.29,867.663,-0.273646,0.0317298,-0.0440584,-0.0270176
125,1824.63,867.675,-0.299676,0.0306993,-0.0401038,-0.0262946
126,1825.06,867.728,-0.314981,0.0313223,-0.025262,-0.00619345
127,1825.51,867.754,-0.361683,0.0312248,-0.0213875,-0.00143893
128,1825.85,867.766,-0.373101,0.0285417,-0.0244283,-0.00281746
